ID,Decoded Sentence,Target Sentence,Accuracy
2020-01-16/027393-027476,"['行樓梯', '瓶', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['影響', '這些', '客', '人', '感覺', '急']",0.0
2020-01-18/002908-003094,"['轉換', '期待', '狹窄', '塞爾維亞', '保留', '時代', '共和國', '閞會', '共有', '語言', '看症', '<BAD>', '<BAD>']","['特別', '甚麼', '地方', '關於', '收入', '但是', '同時', '其實', '支出', '減', '不', '經濟', '下降']",0.0
2020-01-19/020005-020272,"['泰國', '唯一', '線', '線', '北斗', '發展', '號', '北斗', '衛星', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['但是', '政府', '陳', '波', '說', '支出', '繼續', '加', '今', '年', '<X>', '經濟', '退步', '沒', '估', '二', '零', '二', '三', '二', '零', '二', '四', '左右', '月', '月', '十', '九', '支出']",0.0
2020-01-19/032266-032383,"['為何', '股市', '出任', '氣氛', '不同', '突然', '雷達', '雷達', '雷達', '<BAD>', '<BAD>']","['天氣', '情況', '現在', '上升', '一', '八', '有', '濕', '百分比', '七', '十']",0.0
2020-01-20/000983-001224,"['同學', '眾', '多方防止', '被資助', '威', '威', '足球', '沒事', '桌', '團隊', '資助', '上學', '物質', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['名字', '下', '說', '香港', '長', '立', '國', '安全', '規則', '不', '未來', '某些人', '容易', '入侵', '破壞', '破壞', '<MUMBLE>', '破壞', '一', '國', '兩', '制']",0.0
2020-01-22/002042-002267,"['嚴厲', '強烈', '座', '版本', '樓上', '支出', '互相', '喉管', '行山', '罷工', '科學', '銀行', '一般', '<BAD>', '<BAD>']","['男', '病', '沙', '佐敦', '醫院', '分開', '治療', '轉', '<BAD>', '送', '另', '名字', '馬', '醫院', '分開']",0.0
2020-01-22/007309-007496,"['宿舍', '遲', '網', '網', '噴霧', '奧運', '噴手', '預防', '蔓延', '<BAD>', '<BAD>']","['不能', '限制', '買', '字', '不能', '要', '保護', '口罩', '賣', '<X>', '能']",0.0
2020-01-25/022956-023151,"['迪士尼', '鑼', '肯定', '介紹', '申請', '申請', '貨品', '病人', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['工作', '錢', '加', '或者', '上升', '政府', '答', '要', '包括', '甚麼', '五', '這', '這', '這']",0.0
2020-01-28/000736-000983,"['泰國', '立法', '泰國', '火藥', '多數', '汗', '營運', '護士', '護士', '順利', '層次', '假期', '新加坡', '富貴', '除去', '上船', '十字', '體驗']","['國', '衞生', '健康', '委員會', '說', '肺', '炎', '有', '重要', '呼吸', '打噴嚏', '飛沫', '傳染', '或者', '接觸', '傳染', '能', '<BAD>']",0.0
2020-01-29/010520-010860,"['假如', '聯', '得奬', '講座', '走路', '明白', '按照', '大地方', '羣組', '價值', '教育自己', '生計', '熱門', '其他', '題目', '圖', '飲食', '標語', '追踨', '用', '引', '引', '引', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['說', '發燒', '各種', '有否', '日', '十', '四', '內', '有否', '去', '武漢', '曾經', '返', '香港', '人', '比', '以前', '兩', '日', '前', '多', '後', '排隊', '時間', '長', '完', '負責', '海關', '口罩', '有', '護目鏡', '加']",0.0
2020-01-29/026002-026184,"['旺角', '這裡', '便衣', '集會', '集會', '之後', '塗鴉', '經常', '搶掠', '揮手', '車來回', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['醫生', '組', '覺得', '困難', '決定', '請假', '為何', '批評', '政府', '一直', '處理', '好', '內地', '來', '香港', '危險', '沒']",0.0
2020-01-30/009172-009267,"['西班牙', '天上', '人仕', '氣氛', '精英', '靴', '不開心', '<BAD>']","['政府', '現在', '內地', '政府', '合作', '包括', '海', '關']",0.0
2020-01-30/009534-009608,"['焦點', '耳帶', '情形', '表達', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['估', '會', '進', '一', '步', '賣', '賣', '賣', '貨', '有']",0.0
2020-01-31/025376-025567,"['N', '外交部', '金', '參觀', '兒童', '派', '火', '董', '情人', '不懂', '<BAD>']","['差不多', '日', '半', '<MUMBLE>', '歐洲', '解除合作關係', '<MUMBLE>', '<BAD>', '<BAD>', '<MUMBLE>', '名字']",0.0
